Country,Total_Cases,Total_Deaths,Death_Rate_%,Happiness_Score,GDP_per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom
Afghanistan,2171,64,2.947950253339475,3.203,0.35,0.517,0.361,0.0
Albania,773,31,4.010349288486417,4.719,0.947,0.848,0.874,0.383
Algeria,4006,450,11.233150274588118,5.211,1.002,1.16,0.785,0.086
Argentina,4428,218,4.923215898825655,6.086,1.092,1.432,0.881,0.471
Armenia,2066,32,1.5488867376573088,4.559,0.85,1.055,0.815,0.283
Australia,6766,93,1.3745196571090748,7.228,1.372,1.548,1.036,0.557
Austria,15452,584,3.779446026404349,7.246,1.376,1.475,1.016,0.532
Azerbaijan,1804,24,1.3303769401330376,5.208,1.043,1.147,0.769,0.351
Bahrain,3040,8,0.2631578947368421,6.199,1.362,1.368,0.871,0.536
Bangladesh,7667,168,2.19120907786618,4.456,0.562,0.928,0.723,0.527
Belarus,14027,89,0.6344906252227847,5.323,1.067,1.465,0.789,0.235
Belgium,48519,7594,15.651600403965457,6.923,1.356,1.504,0.986,0.473
Benin,64,1,1.5625,4.883,0.393,0.437,0.397,0.349
Bhutan,7,0,0.0,5.082,0.813,1.321,0.604,0.457
Bolivia,1110,59,5.315315315315315,5.779,0.776,1.209,0.706,0.511
Bosnia and Herzegovina,1757,69,3.927148548662493,5.386,0.945,1.212,0.845,0.212
Botswana,23,1,4.3478260869565215,3.488,1.041,1.145,0.538,0.455
Brazil,87187,6006,6.8886416552926475,6.3,1.004,1.439,0.802,0.39
Bulgaria,1506,66,4.382470119521913,5.011,1.092,1.513,0.815,0.311
Burkina Faso,645,43,6.666666666666667,4.587,0.331,1.056,0.38,0.255
Burundi,11,1,9.090909090909092,3.775,0.046,0.447,0.38,0.22
Cambodia,122,0,0.0,4.7,0.574,1.122,0.637,0.609
Cameroon,1832,61,3.3296943231441047,5.044,0.549,0.91,0.331,0.381
Canada,54457,3310,6.078190131663514,7.278,1.365,1.505,1.039,0.584
Central African Republic,50,0,0.0,3.083,0.026,0.0,0.105,0.225
Chad,73,5,6.8493150684931505,4.35,0.35,0.766,0.192,0.174
Chile,16023,227,1.4167134743805778,6.444,1.159,1.369,0.92,0.357
China,83956,4637,5.5231311639430185,5.191,1.029,1.125,0.893,0.521
Colombia,6507,293,4.502843092054711,6.125,0.985,1.41,0.841,0.47
Comoros,1,0,0.0,3.973,0.274,0.757,0.505,0.142
Congo (Brazzaville),220,9,4.090909090909091,4.812,0.673,0.799,0.508,0.372
Congo (Kinshasa),572,31,5.419580419580419,4.418,0.094,1.125,0.357,0.269
Costa Rica,719,6,0.8344923504867872,7.167,1.034,1.441,0.963,0.558
Croatia,2076,69,3.3236994219653178,5.432,1.155,1.266,0.914,0.296
Cyprus,850,15,1.7647058823529411,6.046,1.263,1.223,1.042,0.406
Denmark,9356,452,4.831124412141941,7.6,1.383,1.573,0.996,0.592
Dominican Republic,6972,301,4.317269076305221,5.425,1.015,1.401,0.779,0.497
Ecuador,24934,900,3.6095291569744123,6.028,0.912,1.312,0.868,0.498
Egypt,5537,392,7.079646017699115,4.166,0.913,1.039,0.644,0.241
El Salvador,395,10,2.5316455696202533,6.253,0.794,1.242,0.789,0.43
Estonia,1689,52,3.078744819419775,5.893,1.237,1.528,0.874,0.495
Ethiopia,131,3,2.2900763358778624,4.286,0.336,1.033,0.532,0.344
Finland,4995,211,4.224224224224224,7.769,1.34,1.587,0.986,0.596
France,167299,24410,14.590643100078301,6.592,1.324,1.472,1.045,0.436
Gabon,276,3,1.0869565217391304,4.799,1.057,1.183,0.571,0.295
Gambia,11,1,9.090909090909092,4.516,0.308,0.939,0.428,0.382
Georgia,539,6,1.1131725417439702,4.519,0.886,0.666,0.752,0.346
Germany,163009,6623,4.062965848511432,6.985,1.373,1.454,0.987,0.495
Ghana,2074,17,0.819672131147541,4.996,0.611,0.868,0.486,0.381
Greece,2591,140,5.403319181783095,5.287,1.181,1.156,0.999,0.067
Guatemala,599,16,2.671118530884808,6.436,0.8,1.269,0.746,0.535
Guinea,1495,7,0.46822742474916385,4.534,0.38,0.829,0.375,0.332
Haiti,81,8,9.876543209876543,3.597,0.323,0.688,0.449,0.026
Honduras,771,71,9.208819714656292,5.86,0.642,1.236,0.828,0.507
Hungary,2775,312,11.243243243243244,5.758,1.201,1.41,0.828,0.199
Iceland,1797,10,0.5564830272676683,7.494,1.38,1.624,1.026,0.591
India,34863,1154,3.3100995324556117,4.015,0.755,0.765,0.588,0.498
Indonesia,10118,792,7.827633919746986,5.192,0.931,1.203,0.66,0.491
Iran,94640,6028,6.369399830938292,4.548,1.1,0.842,0.785,0.305
Iraq,2085,93,4.460431654676259,4.437,1.043,0.98,0.574,0.241
Ireland,20612,1232,5.977100718028333,7.021,1.499,1.553,0.999,0.516
